model_id,model_name,developer_family,parameter_count,nominal_context_window,architecture,measured_cc
qwen/qwq-32b,qwen/qwq-32b,Qwen,32B,"131,072",Dense,32
deepseek/deepseek-chat,deepseek/deepseek-chat,DeepSeek,--,"163,840",--,0
deepseek/deepseek-chat-v3.1,deepseek/deepseek-chat-v3.1,DeepSeek,671B total / 37B active,"32,768",MoE,0
deepseek/deepseek-r1-distill-qwen-32b,deepseek/deepseek-r1-distill-qwen-32b,DeepSeek,32B,"32,768",Dense,0
deepseek/deepseek-v3.1-terminus,deepseek/deepseek-v3.1-terminus,DeepSeek,--,"163,840",--,0
deepseek/deepseek-v3.2,deepseek/deepseek-v3.2,DeepSeek,--,"163,840",--,0
deepseek/deepseek-v3.2-exp,deepseek/deepseek-v3.2-exp,DeepSeek,--,"163,840",--,0
google/gemma-2-27b-it,google/gemma-2-27b-it,Google,27B,"8,192",Dense,0
google/gemma-3-27b-it,google/gemma-3-27b-it,Google,27B,"131,072",Dense,0
google/gemma-3-4b-it,google/gemma-3-4b-it,Google,4B,"131,072",Dense,0
google/gemma-3n-e4b-it,google/gemma-3n-e4b-it,Google,4B,"32,768",Dense,0
meta-llama/llama-3-70b-instruct,meta-llama/llama-3-70b-instruct,Meta,70B,"8,192",Dense,0
meta-llama/llama-3-8b-instruct,meta-llama/llama-3-8b-instruct,Meta,8B,"8,192",Dense,0
meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.1-8b-instruct,Meta,8B,"16,384",Dense,0
meta-llama/llama-3.2-3b-instruct,meta-llama/llama-3.2-3b-instruct,Meta,3B,"80,000",Dense,0
meta-llama/llama-4-scout,meta-llama/llama-4-scout,Meta,17B,"327,680",MoE,0
microsoft/phi-4,microsoft/phi-4,Microsoft,14B,"16,384",Dense,0
mistralai/ministral-3b-2512,mistralai/ministral-3b-2512,Mistral,3B,"131,072",Dense,0
mistralai/ministral-8b-2512,mistralai/ministral-8b-2512,Mistral,8B,"262,144",Dense,0
mistralai/mistral-7b-instruct-v0.1,mistralai/mistral-7b-instruct-v0.1,Mistral,7.30BB,"2,824",Dense,0
mistralai/mistral-nemo,mistralai/mistral-nemo,Mistral,12B,"131,072",Dense,0
mistralai/mistral-small-3.1-24b-instruct,mistralai/mistral-small-3.1-24b-instruct,Mistral,24B,"128,000",Dense,0
mistralai/mixtral-8x7b-instruct,mistralai/mixtral-8x7b-instruct,Mistral,56B total / 14B active,"32,768",MoE,0
mistralai/voxtral-small-24b-2507,mistralai/voxtral-small-24b-2507,Mistral,24B,"32,000",Dense,0
qwen/qwen-2.5-7b-instruct,qwen/qwen-2.5-7b-instruct,Qwen,7B,"32,768",Dense,0
qwen/qwen-2.5-coder-32b-instruct,qwen/qwen-2.5-coder-32b-instruct,Qwen,32B,"32,768",Dense,0
qwen/qwen3-30b-a3b-thinking-2507,qwen/qwen3-30b-a3b-thinking-2507,Qwen,30B total / 3B active,"131,072",MoE,0
qwen/qwen3-8b,qwen/qwen3-8b,Qwen,8.20BB,"40,960",Dense,0
qwen/qwen3-coder,qwen/qwen3-coder,Qwen,480B total / 35B active,"262,144",MoE,0
qwen/qwen3.5-9b,qwen/qwen3.5-9b,Qwen,9B,"256,000",Dense,0
z-ai/glm-4.7-flash,z-ai/glm-4.7-flash,Z.ai,30B,"202,752",Dense,0
